	megablast	blastn	qiime_blastn	qiime_sklearn	mapseq	centrifuge	kraken2	minimap2(12)	mothur(6)	idtaxa	rdp	sintax	spingo(8)	gt
e34cf5d9-2552-478f-b369-7f623be1ca78	Enterobacteriaceae			Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e34e8686-ab7d-49b7-a8fb-343b22207b61	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
e35640df-5371-4744-a09f-1407edb078ac			Staphylococcaceae											
e3573990-f507-4814-b609-9b55102f9f62	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e35e8b92-fd32-4c0a-aeba-8963607f4e30			Dikarya											
e36043c7-125d-4f71-aebf-c2e196555cf4	Listeriaceae			Listeriaceae	Listeriaceae	Lactobacillaceae	Bacillaceae	Listeriaceae		Listeriaceae	Carnobacteriaceae	Listeriaceae	Listeriaceae	Listeriaceae
e3667bcf-6e66-4d58-9c02-54af591dbd8c	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
e366f73b-5b89-4801-9e0c-ab9c15b8cbb1	Enterobacteriaceae			Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e3673521-5ad0-4cea-a0ba-61fcb263d641			Enterobacteriaceae											
e36bca84-3bd5-4c59-8e78-de9770f2ba28			Dikarya											
e37237af-7d99-407d-a24b-739f192d7d92	Bacillaceae			Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
e37258bb-64ad-461a-b050-b85c56b4666b	Bacillaceae	Bacillaceae		Dikarya	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
e3734837-9dcb-4b49-8ef5-15560bbe1a29	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
e376b5ce-e746-407b-a88b-532e21238b73			Dikarya											
e376efae-6bd4-43ff-88fb-947ad44a0cf0	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
